Checkee_CaseId,VisaType,ApplicationDate,ClearanceDate,Consulate,Major,ApplicationStatus
192760,J1,2013-09-10,2013-10-18,ShangHai,,Clear
150153,J1,2013-07-08,2013-08-19,BeiJing,Medicine,Clear
184516,H1,2013-08-08,2013-09-23,Vancouver,ME,Clear
124733,H1,2013-05-20,2013-06-27,ShangHai,EE,Clear
161504,F1,2013-07-11,,BeiJing,,Pending
224136,H1,2013-10-08,,Toronto,MBA,Pending
169149,J1,2013-08-08,2013-08-28,ShenYang,Computer Applied Technolo,Clear
142510,F1,2013-06-13,2013-08-09,ShenYang,chemical engineering,Clear
153972,F1,2013-06-25,2013-08-14,BeiJing,Chemistry,Clear
192058,H1,2013-09-11,,,Mechanical Engineering,Pending
192059,H1,2013-09-11,,,Mechanical Engineering,Pending
192060,H1,2013-09-11,,,Mechanical Engineering,Pending
130024,F1,2013-06-03,2013-07-10,ShangHai,OChemistry,Clear
160308,F1,2013-06-27,2013-08-16,BeiJing,epidemiology,Clear
162296,H1,2013-07-11,2013-09-06,ShangHai,biology,Clear
190742,B2,2013-09-13,2013-09-25,,,Clear
149505,J1,2013-07-22,2013-08-28,ShangHai,Medicinal Chemistry,Clear
160065,J1,2013-07-22,2013-08-14,ShangHai,,Clear
188264,B1,2013-08-01,2013-09-26,ShangHai,Material,Clear
131904,F1,2013-05-30,2013-07-23,BeiJing,,Clear
143596,J1,2013-06-06,2013-08-15,ShangHai,chemistry,Clear
164739,F1,2013-07-10,2013-08-23,GuangZhou,Biomedical Sciences,Clear
164629,H1,2013-07-08,2013-08-30,GuangZhou,,Clear
274081,F1,2013-12-30,2014-01-14,ShangHai,Geographic Information Sc,Clear
130357,F1,2013-05-30,2013-07-03,BeiJing,Materials Science,Clear
193039,B1,2013-09-24,,ShangHai,optical,Pending
146914,J1,2013-06-25,2013-08-16,ChengDu,CS,Clear
153806,J1,2013-07-22,2013-08-26,ChengDu,Optics,Clear
123944,F1,2013-05-30,2013-06-26,ShenYang,physics,Clear
172532,B2,2013-08-22,2013-09-27,BeiJing,CS,Clear
142630,F1,2013-07-08,2013-08-14,ShangHai,Mechanical Engineering,Clear
133033,J1,2013-06-06,2013-07-10,BeiJing,Epidemiology,Clear
156133,B1,2013-08-01,2013-09-18,BeiJing,,Clear
163784,H1,2013-06-28,2013-08-22,Montreal,EE,Clear
232256,B2,2013-10-28,2013-11-26,ChengDu,Automation,Clear
43722,J1,2012-08-03,2012-08-22,Others,Biology,Clear
152820,B1,2013-08-01,2013-09-18,BeiJing,,Clear
163612,J1,2013-08-19,2013-09-05,BeiJing,CS,Clear
149915,J1,2013-06-24,2013-08-15,BeiJing,Mechanical Engineering,Clear
212833,F1,2013-09-24,2013-11-05,BeiJing,Environmental Eng,Clear
140497,F1,2013-06-24,2013-08-20,ShangHai,EE,Clear
230410,H1,2013-10-15,2013-11-12,ShangHai,bio,Clear
124340,F1,2013-05-30,2013-07-05,BeiJing,EE,Clear
164331,F1,2013-07-01,2013-08-13,GuangZhou,ME,Clear
143661,J1,2013-06-28,2013-08-21,BeiJing,Psychology,Clear
193922,J1,2013-09-23,2013-10-25,BeiJing,Medicine,Clear
188238,B2,2013-08-26,2013-10-07,BeiJing,Biomedical Engineering,Clear
134121,B1,2013-06-06,2013-07-23,BeiJing,R&D,Clear
161637,F1,2013-07-05,2013-08-24,BeiJing,mathematics,Clear
101144,H1,2013-04-02,,BeiJing,Chemical Engineering,Pending
147489,B1,2013-06-24,2013-08-28,GuangZhou,telecommunication,Clear
160781,F1,2013-06-20,2013-08-19,BeiJing,molecular and cell bio,Clear
194145,H1,2013-09-24,,BeiJing,EE,Pending
148724,F1,2013-07-22,2013-08-23,BeiJing,ChE,Clear
72587,F1,2012-12-31,2013-01-22,BeiJing,EE,Clear
147458,F1,2013-06-24,2013-08-12,GuangZhou,Chemistry,Clear
130676,F1,2013-05-30,2013-07-08,BeiJing,bio,Clear
169102,B1,2013-07-10,,ShangHai,,Pending
164582,B1,2013-08-01,,BeiJing,,Pending
144175,J1,2013-07-08,2013-08-14,BeiJing,EE,Clear
139263,F1,2013-06-20,2013-08-14,ShangHai,EE,Clear
167633,F1,2013-08-20,2013-09-05,ShangHai,Biomedical Engineering,Clear
159396,F1,2013-06-20,2013-08-12,BeiJing,EE,Clear
150091,B1,2013-07-22,2013-09-18,ShangHai,Optics,Clear
129821,F1,2013-06-03,,BeiJing,EE,Pending
161505,J1,2013-07-05,2013-08-22,ShangHai,ME,Clear
261757,H1,2013-12-20,2014-01-27,Others,EE,Clear
159368,J1,2013-07-22,2013-08-20,BeiJing,biology,Clear
179755,F1,2013-08-23,2013-09-13,ShangHai,,Clear
272095,F1,2013-12-18,2014-01-06,ChengDu,ME,Clear
232232,H1,2013-10-21,2013-12-03,Toronto,Masters in Electrical Eng,Clear
190962,B1,2013-09-24,2013-10-30,BeiJing,physics,Clear
149518,J1,2013-07-19,,BeiJing,cs,Pending
133751,F1,2013-06-06,2013-08-23,BeiJing,Biochemistry,Clear
155285,B1,2013-08-01,2013-09-18,BeiJing,,Clear
166058,F1,2013-08-19,2013-09-05,BeiJing,Mechanical Engineering,Clear
192893,F1,2013-09-03,2013-10-09,ShangHai,Materials,Clear
224289,B1,2013-10-10,2013-11-07,BeiJing,EE,Clear
273072,H1,2013-12-26,2014-01-07,BeiJing,computer science,Clear
148212,F1,2013-06-25,2013-08-22,BeiJing,physics,Clear
124893,F1,2013-06-06,2013-08-20,ShangHai,ECE,Clear
147877,F1,2013-06-24,2013-08-21,ShangHai,physics,Clear
189773,B1,2013-08-01,2013-09-23,ShangHai,Communication,Clear
49718,F1,2012-09-13,2012-09-17,BeiJing,Computer Science,Clear
127903,F1,2013-05-16,2013-08-15,BeiJing,physics,Clear
153570,J1,2013-07-02,2013-08-15,BeiJing,Automatic Control,Clear
132361,F1,2013-05-30,2013-08-05,GuangZhou,ME,Clear
159386,F1,2013-06-10,2013-08-20,ShangHai,IS,Clear
262135,H1,2013-11-25,,NewDelhi,chemical engineering,Pending
146757,F1,2013-06-28,2013-08-21,BeiJing,ME,Clear
257712,F1,2013-12-19,2013-12-23,GuangZhou,atmospheric sciences,Clear
175626,H1,2013-08-16,2013-09-27,GuangZhou,EE,Clear
273114,F1,2013-12-24,2014-01-07,BeiJing,Epidemiology,Clear
32899,F1,2012-06-06,2012-07-17,ShangHai,EE Circuit Design,Clear
273115,H1,2013-12-11,2014-01-09,ShangHai,CS,Clear
268359,H1,2013-12-12,2014-01-03,ShangHai,Pharmaceutics,Clear
255780,B2,2013-12-16,2013-12-20,BeiJing,journalism,Clear
51611,B1,2012-09-13,2012-11-26,BeiJing,EE,Clear
53218,B1,2012-09-13,2012-10-26,BeiJing,EE,Clear
273088,J2,2013-12-26,2014-01-13,ChengDu,Analysis of industrial wa,Clear
173951,L2,2013-09-03,2013-10-15,BeiJing,CS,Clear
179837,B1,2013-09-03,2013-09-10,BeiJing,,Clear
36594,F1,2012-06-06,2012-07-18,ShangHai,Physics,Clear
166465,F1,2013-06-28,2013-08-23,ShangHai,Biostatistics,Clear
53511,H1,2012-09-13,2012-10-26,GuangZhou,EE,Clear
53710,B1,2012-09-13,2012-10-23,GuangZhou,medicine,Clear
173442,F1,2013-09-03,2013-10-18,ShangHai,EE,Clear
174099,J1,2013-09-03,2013-10-11,BeiJing,,Clear
164583,F1,2013-07-08,,GuangZhou,,Pending
135248,F1,2013-06-24,2013-08-20,ShangHai,Cell biology,Clear
159310,H1,2013-08-07,2013-09-23,GuangZhou,EE,Clear
77443,F1,2013-01-22,2013-02-07,ShangHai,CS,Clear
160008,F1,2013-06-28,2013-08-14,BeiJing,mechanical engineering,Clear
160260,J1,2013-07-08,2013-08-14,BeiJing,MS,Clear
159101,F1,2013-06-19,2013-08-15,ShangHai,Materials Science and Eng,Clear
160011,F1,2013-06-28,2013-08-19,BeiJing,Biology,Clear
117864,F1,2013-05-16,2013-06-25,ShangHai,polymer science,Clear
163430,F1,2013-06-28,2013-08-19,BeiJing,Chemistry,Clear
132039,F2,2013-06-24,,BeiJing,,Pending
159125,F1,2013-07-08,2013-08-14,ShangHai,CS,Clear
130162,F1,2013-07-01,2013-08-20,ChengDu,Biomedical Sciences,Clear
124480,F1,2013-05-17,2013-07-02,BeiJing,IM,Clear
163959,F1,2013-08-07,2013-08-28,BeiJing,ChemE,Clear
189890,H1,2013-08-08,2013-09-26,BeiJing,,Clear
159335,J1,2013-08-08,2013-10-15,BeiJing,Fluid Mechanics,Clear
79720,F1,2013-01-22,2013-02-07,ShangHai,"ME, dynamic control",Clear
152037,F1,2013-06-28,2013-08-12,BeiJing,Mechanical Engineering,Clear
173746,B2,2013-09-03,,BeiJing,,Pending
224340,B2,2013-11-07,2013-11-21,GuangZhou,ME,Clear
51473,F1,2012-09-07,2012-09-28,Others,EE,Clear
49667,B1,2012-09-12,,ShenYang,电气自动化,Pending
52877,B1,2012-09-12,2012-10-16,Others,Computer Science,Clear
49862,B1,2012-09-13,2012-10-18,GuangZhou,EE,Clear
228283,J1,2013-11-07,2014-03-26,BeiJing,Mechannical engineering,Clear
154663,F1,2013-07-02,2013-08-13,ChengDu,CE,Clear
164686,F1,2013-06-24,2013-08-21,ShenYang,EE,Clear
146969,F1,2013-06-28,2013-08-14,BeiJing,Materials Engineering,Clear
165288,F1,2013-07-02,,BeiJing,Chemical Engineering,Pending
124399,F1,2013-05-21,2013-06-19,BeiJing,bio,Clear
129377,F1,2013-05-16,2013-06-27,ShangHai,Biomedical,Clear
124235,F1,2013-05-21,2013-06-19,BeiJing,CS,Clear
173977,B1,2013-09-03,2013-10-11,ShangHai,Electrical Engineering,Clear
32891,H1,2012-06-06,2012-07-13,ShangHai,Biology,Clear
164074,F1,2013-07-25,2013-08-19,BeiJing,EE,Clear
248904,F1,2013-11-25,,Others,Computer Engineering,Pending
156536,J1,2013-07-11,2013-08-16,BeiJing,Math,Clear
176574,B2,2013-08-19,,,,Pending
219798,B2,2013-10-25,,BeiJing,EE,Pending
118333,F1,2013-06-04,2013-07-09,BeiJing,EE,Clear
118993,F1,2013-05-22,2013-06-26,ShangHai,polymer,Clear
254144,F1,2013-11-19,2014-01-30,BeiJing,MBA,Reject
262188,F1,2013-12-12,2013-12-26,GuangZhou,phy,Clear
75314,F1,2013-01-07,2013-01-28,ShangHai,CS,Clear
68350,F1,2012-12-04,2012-12-18,BeiJing,Chemistry,Clear
72051,J1,2012-09-10,2013-01-17,ShenYang,Mechatronics,Clear
108262,F1,2013-04-26,2013-05-21,ShangHai,ECE,Clear
88582,F1,2013-02-15,2013-03-18,BeiJing,biomedical engineering,Clear
164155,H1,2013-07-08,2013-09-05,Europe,,Clear
118278,F1,2013-06-04,2013-07-24,ShangHai,computer engineering,Clear
75574,F1,2013-01-04,2013-01-28,,chemistry,Clear
274921,J1,2013-12-30,,BeiJing,HORTICUTURE,Pending
160452,F1,2013-06-04,2013-08-23,BeiJing,MAE,Clear
201114,F1,2013-09-09,2013-10-18,ShangHai,PHY,Clear
170629,F1,2013-08-05,2013-08-26,ShangHai,,Clear
163363,F1,2013-06-26,2013-08-19,ShangHai,EE,Clear
274922,F1,2013-12-30,2014-01-17,ShenYang,Materials Science,Clear
155689,J1,2013-08-06,2013-08-28,ShangHai,medicine,Clear
160310,J1,2013-07-05,2013-08-20,BeiJing,Bioinformatics,Clear
178019,B2,2013-09-09,,ShangHai,communication engineering,Pending
254160,H1,2013-12-13,,BeiJing,ChE,Pending
254143,F1,2013-12-13,2013-12-17,GuangZhou,Computer Engineering,Clear
268432,F1,2013-12-26,2014-01-02,GuangZhou,Computer Engineering,Clear
212855,B1,2013-09-26,2013-10-30,ShangHai,Acoustic,Clear
90360,J1,2013-02-19,2013-03-22,ShangHai,,Clear
257773,J1,2013-12-06,2013-12-23,ShangHai,Chemical Engineering,Clear
102069,B1,2013-04-25,2013-05-08,GuangZhou,Mold Design,Clear
126998,F1,2013-05-22,2013-06-24,ShangHai,chem,Clear
72246,F1,2013-01-07,2013-01-08,GuangZhou,Management Science,Clear
162833,F1,2013-06-28,,ShangHai,EE,Pending
201065,F1,2013-09-09,2013-10-10,ShangHai,biomedical engineering,Clear
165466,H1,2013-08-16,2013-09-30,GuangZhou,CS,Clear
128197,F1,2013-05-30,2013-07-05,BeiJing,ECE,Clear
163079,F1,2013-08-16,2013-09-05,ShenYang,ECE,Clear
125034,F1,2013-04-25,2013-08-19,GuangZhou,,Clear
69872,F1,2012-12-04,2012-12-26,ShangHai,,Reject
51822,B1,2012-09-14,2012-10-09,BeiJing,computer science,Clear
185083,B1,2013-08-19,2013-10-11,ChengDu,,Clear
175054,F1,2013-08-23,2013-09-05,ShangHai,Chemistry,Clear
103498,B2,2013-04-25,2013-04-30,BeiJing,Maths,Clear
144719,F1,2013-04-26,2013-08-13,BeiJing,chemE,Clear
159336,J1,2013-08-05,2013-08-27,BeiJing,neuroscience,Clear
168572,J1,2013-08-23,2013-09-11,BeiJing,Biomedical Engineering,Clear
154828,F1,2013-07-09,2013-08-23,ChengDu,CS,Clear
192291,F1,2013-09-06,2013-09-27,ChengDu,Bioinformatics,Clear
136563,F1,2013-06-03,2013-07-26,BeiJing,CS,Clear
153615,F1,2013-07-09,2013-08-12,ShangHai,EE,Clear
91061,J1,2013-02-19,2013-03-27,BeiJing,Mechanical Engineering,Clear
167141,H1,2013-08-23,2013-09-27,Vancouver,,Clear
135914,F1,2013-06-13,2013-08-14,ShangHai,Mechanical Engineering,Clear
117852,F1,2013-05-22,2013-06-24,ShangHai,Neuroscience,Clear
158477,F1,2013-07-10,2013-08-12,BeiJing,Chemical Engineering,Clear
169582,B1,2013-07-12,2013-09-04,BeiJing,,Clear
122074,F1,2013-06-03,2013-07-05,BeiJing,CS PHD,Clear
127452,F1,2013-06-04,2013-07-09,BeiJing,Biomedical Engineering,Clear
167956,B1,2013-08-23,2013-10-04,BeiJing,Materials,Clear
119761,J1,2013-06-04,2013-07-10,BeiJing,biomedical engineering,Clear
160942,F1,2013-07-05,2013-08-19,BeiJing,EE,Clear
33440,J1,2012-06-06,2012-06-25,BeiJing,Chemistry,Clear
142942,F1,2013-06-06,2013-08-15,ShangHai,Chemical engineering,Clear
147700,J1,2013-06-26,2013-08-15,GuangZhou,renal pathology,Clear
103098,F1,2013-04-25,2013-05-24,ChengDu,EE,Clear
124869,F1,2013-05-20,2013-06-19,ShangHai,Mechanical Engineering,Clear
154526,F1,2013-07-09,,BeiJing,Biological/Biosystems Eng,Pending
159434,F1,2013-07-01,2013-08-19,BeiJing,Mechanical and aerospace,Clear
193430,F1,2013-08-29,,,,Pending
183177,F1,2013-08-30,2013-10-11,BeiJing,ECE,Clear
193429,F1,2013-08-29,,,,Pending
154870,F1,2013-06-04,2013-08-19,BeiJing,Materials Science,Clear
273152,F1,2014-01-03,2014-01-14,ShangHai,Computer Science,Clear
131316,F1,2013-05-29,2013-07-05,ShangHai,Chemistry,Clear
262295,F1,2013-12-13,2013-12-27,BeiJing,Mechanical Engineering,Clear
158806,F1,2013-07-01,2013-08-14,BeiJing,CS,Clear
123935,F1,2013-05-21,2013-06-21,GuangZhou,EE,Clear
175729,F1,2013-08-30,2013-10-11,BeiJing,BIO,Clear
65638,J1,2012-10-18,2012-11-30,BeiJing,biology,Clear
61897,H1,2012-10-26,2012-11-16,ShangHai,biomedical,Clear
47802,J1,2012-08-09,2012-09-27,BeiJing,MAE,Clear
224401,F1,2013-11-07,2013-11-20,BeiJing,Engineering,Clear
122309,F1,2013-05-21,2013-06-17,BeiJing,computer science,Clear
111484,F1,2013-05-20,2013-06-25,ShangHai,Biomedical Science,Clear
241603,B1,2013-11-19,2013-11-29,ShangHai,Molecular medicine,Clear
46685,F1,2012-08-10,2012-08-28,ShangHai,CS,Clear
79524,H1,2013-01-05,,Mumbai,Computer Science,Pending
127807,J1,2013-06-03,2013-08-16,BeiJing,ME,Clear
42464,L1,2012-08-10,,BeiJing,,Pending
138233,F1,2013-07-03,2013-08-14,BeiJing,ME,Clear
166873,J1,2013-08-16,2013-09-05,GuangZhou,ME,Clear
187340,J1,2013-08-30,2013-10-11,ShangHai,Biotechnology,Clear
62006,F1,2012-10-22,2012-11-14,Toronto,CS,Clear
47281,F1,2012-08-13,2012-09-05,GuangZhou,Biology,Clear
262274,F1,2013-12-17,,ShangHai,EE,Pending
272238,F1,2013-12-30,2014-01-24,ShangHai,Chemical Engineering,Clear
128262,F1,2013-05-31,2013-07-05,ChengDu,Aviation Safety,Clear
117971,F1,2013-06-03,,ShangHai,EE,Pending
147258,B2,2013-06-04,2013-08-02,ShangHai,,Clear
156338,F1,2013-07-01,,BeiJing,CS,Pending
273141,F1,2013-12-30,2014-01-09,BeiJing,EE,Clear
193487,H1,2013-09-18,2013-10-25,ShangHai,Biomedical Engineering,Clear
230712,B1,2013-10-16,,Montreal,Ecology,Pending
124218,F1,2013-05-20,2013-06-18,BeiJing,Chemistry,Clear
268497,B1,2013-11-25,2014-01-07,ShangHai,Computer and Communicatio,Clear
234705,J1,2013-11-04,2013-11-18,Europe,physics,Clear
164030,H1,2013-07-01,2013-09-03,ShangHai,CS,Clear
101787,H1,2013-04-25,2013-05-21,BeiJing,,Clear
230652,H1,2013-09-30,,Toronto,Mechanical engineering,Pending
210525,B1,2013-09-27,2013-11-12,BeiJing,,Clear
111611,F1,2013-05-20,2013-05-28,GuangZhou,EE,Clear
35941,J1,2012-06-06,,BeiJing,Electrical Engineering,Pending
59475,J1,2012-10-18,2012-11-08,BeiJing,bio,Clear
57637,F1,2012-10-18,2012-11-08,BeiJing,biophysics,Clear
59192,J1,2012-10-25,2012-11-16,GuangZhou,EE,Clear
44912,F1,2012-08-08,2012-08-28,BeiJing,ME,Clear
48200,F1,2012-08-10,2012-09-05,GuangZhou,Ocean Engineering,Clear
43907,F1,2012-08-10,2012-09-04,ShenYang,ECE,Clear
41598,H1,2012-08-10,2012-08-29,BeiJing,Physics,Clear
47622,F1,2012-08-20,2012-09-07,BeiJing,Environmental Engineering,Clear
111535,F1,2013-05-20,2013-06-13,BeiJing,Mechanical Engineering,Clear
98105,F1,2013-04-12,2013-05-10,BeiJing,,Clear
131353,F1,2013-07-01,2013-08-15,BeiJing,Software Engineering,Clear
192753,B1,2013-08-30,2013-10-11,GuangZhou,Genetics,Clear
170511,J1,2013-08-22,2013-09-09,BeiJing,Chemical Engineering,Clear
160940,F1,2013-07-05,,GuangZhou,Biology,Pending
184115,J1,2013-08-30,2013-10-11,BeiJing,EE,Clear
177191,B1,2013-08-30,,BeiJing,Laser,Pending
184877,J1,2013-08-30,,BeiJing,Energy Engineering,Pending
232482,B2,2013-10-15,2013-11-15,Europe,,Clear
127672,F2,2013-06-03,2013-07-05,BeiJing,communication,Clear
228376,F1,2013-10-18,2013-11-12,GuangZhou,Nuclear Engineering,Clear
156479,F1,2013-07-01,2013-08-13,GuangZhou,Microbiology,Clear
210526,J1,2013-09-23,2013-10-25,BeiJing,ME,Clear
243932,F1,2013-11-15,2013-12-04,ShangHai,Chemical Engineering,Clear
215956,F1,2013-09-23,2013-10-29,ShangHai,Biomedical,Clear
174956,B2,2013-09-05,,Europe,,Pending
160055,J1,2013-07-26,2013-08-16,BeiJing,,Clear
159936,F1,2013-07-01,2013-08-19,BeiJing,polymer S&T,Clear
134177,J1,2013-06-13,2013-08-15,ShangHai,biochemistry,Clear
148627,J1,2013-07-08,2013-08-14,BeiJing,Medical,Clear
127059,H1,2013-05-28,2013-06-27,BeiJing,Biology,Clear
125964,H1,2013-05-28,2013-07-03,ShangHai,Mathematics,Clear
210360,B1,2013-09-13,2013-10-22,BeiJing,Microbiology,Clear
113471,F1,2013-05-22,2013-06-22,GuangZhou,Biology,Clear
160941,J1,2013-07-01,2013-08-21,ShenYang,cell biology,Clear
148788,F1,2013-07-08,2013-08-23,ShangHai,EE,Clear
122490,F1,2013-06-11,2013-08-06,GuangZhou,ECE,Clear
160010,F1,2013-07-26,,BeiJing,Material Science,Pending
224471,H4,2013-10-15,2014-01-03,GuangZhou,,Clear
161828,J1,2013-08-02,2013-08-22,ShenYang,Computer Science,Clear
160355,F1,2013-08-14,2013-09-04,ShangHai,EE,Clear
115912,F1,2013-05-08,2013-06-11,GuangZhou,ME,Clear
34725,F1,2012-06-07,2012-06-28,BeiJing,EE,Clear
34693,F1,2012-06-07,2012-06-25,BeiJing,physics,Clear
34000,F1,2012-06-07,2012-06-26,BeiJing,Computer Engineering,Clear
243934,F1,2013-12-03,,ShenYang,,Pending
184887,H1,2013-09-17,2013-10-23,GuangZhou,Network Security,Clear
274238,H1,2013-12-26,,BeiJing,EE,Pending
49731,F1,2012-09-10,2012-10-09,Europe,EE,Clear
49110,F1,2012-09-10,2012-09-27,ShangHai,Information Systems,Clear
48782,H1,2012-08-31,2012-09-28,ShangHai,EE,Clear
201790,B1,2013-09-13,2013-10-24,BeiJing,management,Clear
194038,J1,2013-09-09,2013-10-15,ShangHai,Microbiology,Clear
150839,F1,2013-07-02,2013-08-14,ShangHai,ME,Clear
124781,F1,2013-05-22,2013-06-25,ShangHai,ECE,Clear
195347,F1,2013-09-09,2013-10-15,BeiJing,Polymer,Clear
34037,J1,2012-06-06,,ChengDu,doctor,Pending
150543,F1,2013-06-13,,ShangHai,ME,Pending
33478,J2,2012-06-06,2012-06-25,BeiJing,,Clear
35088,F1,2012-06-07,2012-06-28,ShangHai,Materials Science,Clear
33486,F1,2012-06-07,,ShangHai,Computer Science,Pending
50347,B1,2012-08-31,2012-09-28,GuangZhou,biology,Clear
51850,F1,2012-08-31,2012-09-28,GuangZhou,Immunology/Microbiology,Clear
192255,H1,2013-09-05,2013-10-11,BeiJing,Optical Engineering,Clear
112578,F1,2013-05-22,2013-07-12,GuangZhou,CS,Clear
163900,F1,2013-08-02,2013-08-26,ShangHai,MSE,Clear
274237,H1,2013-12-03,2014-01-28,ShangHai,Environmental Science,Clear
159550,J1,2013-07-02,2013-08-20,BeiJing,Network Information Sercu,Clear
150924,J1,2013-07-02,2013-08-30,ShenYang,Chemistry,Clear
139498,F1,2013-06-06,2013-08-06,ShangHai,PS,Clear
192932,B2,2013-09-09,2013-10-17,Europe,Architecture,Clear
174202,H1,2013-07-26,,ShenYang,EE,Pending
189267,J1,2013-08-05,2013-09-26,ChengDu,plant genomics,Clear
154506,F1,2013-06-14,2013-08-16,BeiJing,EE,Clear
272239,F1,2013-12-20,2014-01-06,BeiJing,EE,Clear
130011,F1,2013-07-01,2013-08-12,ShangHai,EE,Clear
129869,J1,2013-06-11,2013-07-30,ShangHai,Internal Medicine,Clear
121001,F1,2013-05-21,2013-06-25,ShangHai,cs,Clear
161673,B2,2013-06-13,2013-08-28,ChengDu,,Clear
148732,J1,2013-07-08,2013-08-20,ShangHai,Genetics,Clear
126931,F1,2013-05-28,2013-06-26,ShangHai,Chemistry,Clear
113940,F1,2013-05-22,2013-06-26,BeiJing,EE,Clear
143712,F1,2013-06-06,2013-08-13,BeiJing,Biochemistry,Clear
133471,F1,2013-06-13,,BeiJing,Mechanical Engineering,Pending
143911,F1,2013-07-26,2013-08-16,BeiJing,Physics,Clear
160698,F1,2013-07-01,2013-08-15,BeiJing,Materials Engineering,Clear
123951,F1,2013-06-11,2013-07-26,BeiJing,Textile,Clear
196477,J1,2013-09-18,2013-10-22,BeiJing,Laser,Clear
243933,F1,2013-11-15,2013-12-04,ShangHai,Chemical Engineering,Clear
127487,F1,2013-05-30,,BeiJing,EE,Pending
89923,H1,2013-02-19,2013-03-27,BeiJing,chemistry,Clear
34561,H1,2012-06-12,2012-07-09,GuangZhou,Operation Research,Clear
93857,F1,2013-03-14,2013-04-16,BeiJing,CS,Clear
33244,F1,2012-05-29,2012-06-15,BeiJing,CS,Clear
268529,F1,2014-01-02,2014-01-22,BeiJing,Chemistry,Clear
32992,H1,2012-05-29,2012-06-21,ShangHai,EE,Clear
94812,F1,2013-03-13,2013-04-11,BeiJing,Biochemistry,Clear
33328,F1,2012-05-31,2012-06-15,BeiJing,Chemistry,Clear
89550,J1,2013-02-28,2013-03-26,ShangHai,Nuclear Engineering,Clear
33178,F1,2012-05-31,,ChengDu,EE,Pending
98650,F1,2013-03-12,2013-04-17,ShangHai,Chemistry,Clear
